date,rate
2020/04/01,29.86
2020/03/31,29.825
2020/03/30,29.805
2020/03/27,29.815
2020/03/26,29.865
2020/03/25,29.895
2020/03/24,29.895
2020/03/23,29.95
2020/03/20,29.83
